,Date,Ta
0,2021-10-02 00:00,4.42
1,2021-10-02 01:00,4.42
2,2021-10-02 02:00,4.42
3,2021-10-02 03:00,4.29
4,2021-10-02 04:00,4.29
5,2021-10-02 05:00,4.29
6,2021-10-02 06:00,4.16
7,2021-10-02 07:00,4.16
8,2021-10-02 08:00,4.16
9,2021-10-02 09:00,4.03
10,2021-10-02 10:00,4.03
11,2021-10-02 11:00,4.03
12,2021-10-02 12:00,4.03
13,2021-10-02 13:00,4.03
14,2021-10-02 14:00,4.03
15,2021-10-02 15:00,4.68
16,2021-10-02 16:00,4.68
17,2021-10-02 17:00,4.68
18,2021-10-02 18:00,5.2
19,2021-10-02 19:00,5.2
20,2021-10-02 20:00,5.2
21,2021-10-02 21:00,5.07
22,2021-10-02 22:00,5.07
23,2021-10-02 23:00,5.07
