日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2021年06月,新北市,762093185,0.4213,485797620,0.2685,2226685,0.0012,558879322,0.3089,1808996812,0.0929
2021年06月,台北市,470480803,0.3796,719859856,0.5808,1219839,0.001,47900634,0.0386,1239461132,0.0636
2021年06月,桃園市,465679185,0.1825,367883167,0.1442,4635469,0.0018,1713632360,0.6715,2551830181,0.131
2021年06月,台中市,541911895,0.1874,466557844,0.1613,14933684,0.0052,1868562464,0.6461,2891965887,0.1485
2021年06月,台南市,374090968,0.142,253369148,0.0962,36816404,0.014,1969341814,0.7478,2633618334,0.1352
2021年06月,高雄市,456781231,0.1804,443481828,0.1751,20423651,0.0081,1612012077,0.6365,2532698788,0.13
2021年06月,宜蘭縣,84103377,0.2855,60972885,0.207,6984965,0.0237,142496881,0.4838,294558108,0.0151
2021年06月,新竹縣,117699954,0.1377,82682847,0.0967,1899174,0.0022,652651431,0.7634,854933407,0.0439
2021年06月,苗栗縣,89345623,0.1407,56560401,0.0891,3306081,0.0052,485767097,0.765,634979202,0.0326
2021年06月,彰化縣,221873239,0.2139,185115666,0.1784,48605322,0.0469,581851177,0.5608,1037445404,0.0533
2021年06月,南投縣,88940918,0.3369,54471129,0.2063,9836594,0.0373,110763160,0.4195,264011801,0.0136
2021年06月,雲林縣,141187064,0.2676,78321194,0.1484,42714249,0.0809,265442989,0.5031,527665496,0.0271
2021年06月,嘉義縣,86359125,0.3266,46168051,0.1746,27777316,0.1051,104078625,0.3937,264383117,0.0136
2021年06月,屏東縣,155454937,0.367,90866346,0.2145,65783634,0.1553,111527638,0.2633,423632554,0.0217
2021年06月,台東縣,39765557,0.4721,31056042,0.3687,2721214,0.0323,10682561,0.1268,84225374,0.0043
2021年06月,花蓮縣,62996942,0.2934,59921193,0.2791,2385775,0.0111,89389959,0.4164,214693869,0.011
2021年06月,基隆市,64363217,0.5082,42342547,0.3343,10701,0.0001,19925446,0.1573,126641911,0.0065
2021年06月,新竹市,86866493,0.0939,99422282,0.1075,972978,0.0011,737630819,0.7975,924892571,0.0475
2021年06月,嘉義市,49982490,0.4916,41796222,0.4111,736330,0.0072,9164668,0.0901,101679710,0.0052
2021年06月,澎湖縣,15832459,0.4233,16506791,0.4413,413756,0.0111,4650605,0.1243,37403611,0.0019
2021年06月,金門縣,9309195,0.4073,9381756,0.4105,284462,0.0124,3878121,0.1697,22853534,0.0012
2021年06月,連江縣,1990266,0.3407,3122492,0.5345,5174,0.0009,723784,0.1239,5841716,0.0003
2021年06月,合計,4387108123,0.2252,3695657307,0.1897,294693457,0.0151,11100953632,0.5699,19478412519,1
2021年05月,新北市,602469201,0.3602,512336920,0.3063,2375605,0.0014,555336819,0.332,1672518545,0.0879
2021年05月,台北市,390590617,0.3183,779813023,0.6355,1219460,0.001,55369370,0.0451,1226992470,0.0645
2021年05月,桃園市,323196354,0.1319,358797024,0.1464,4109546,0.0017,1764413909,0.72,2450516833,0.1288
2021年05月,台中市,431449836,0.1524,478506831,0.1691,14825355,0.0052,1905524702,0.6733,2830306724,0.1488
2021年05月,台南市,289693680,0.1131,263508738,0.1028,33838649,0.0132,1975320477,0.7709,2562361544,0.1347
2021年05月,高雄市,471588114,0.1793,469166803,0.1784,20892164,0.0079,1667997215,0.6343,2629644296,0.1383
2021年05月,宜蘭縣,64055746,0.2301,68589588,0.2463,6257254,0.0225,139534887,0.5011,278437475,0.0146
2021年05月,新竹縣,83437540,0.1004,77926146,0.0938,2014868,0.0024,667348801,0.8033,830727355,0.0437
2021年05月,苗栗縣,77567401,0.1178,60792922,0.0923,3024409,0.0046,517154898,0.7853,658539630,0.0346
2021年05月,彰化縣,180480202,0.1814,180390718,0.1813,42254624,0.0425,591798318,0.5948,994923862,0.0523
2021年05月,南投縣,60960798,0.2556,53832450,0.2257,10218444,0.0429,113455176,0.4758,238466868,0.0125
2021年05月,雲林縣,111710037,0.2256,75538713,0.1525,38628173,0.078,269338554,0.5439,495215477,0.026
2021年05月,嘉義縣,73466056,0.2919,48405605,0.1923,25286233,0.1005,104510984,0.4153,251668878,0.0132
2021年05月,屏東縣,133278219,0.3189,98611379,0.2359,65881990,0.1576,120189526,0.2876,417961114,0.022
2021年05月,台東縣,29357579,0.3865,32789883,0.4317,2684984,0.0353,11130916,0.1465,75963362,0.004
2021年05月,花蓮縣,46493914,0.2302,62965655,0.3118,2171279,0.0108,90330092,0.4473,201960940,0.0106
2021年05月,基隆市,46136893,0.4288,42450261,0.3945,4334,0,19010877,0.1767,107602365,0.0057
2021年05月,新竹市,75383501,0.0809,103304504,0.1109,959977,0.001,752027416,0.8072,931675398,0.049
2021年05月,嘉義市,38510928,0.4074,46238011,0.4892,614412,0.0065,9162850,0.0969,94526201,0.005
2021年05月,澎湖縣,14421306,0.3778,18183388,0.4764,400627,0.0105,5166930,0.1354,38172251,0.002
2021年05月,金門縣,9609126,0.3908,10792972,0.4389,268443,0.0109,3918053,0.1593,24588594,0.0013
2021年05月,連江縣,2428775,0.3899,3053653,0.4902,7398,0.0012,739970,0.1188,6229796,0.0003
2021年05月,合計,3556285823,0.187,3845995187,0.2022,277938228,0.0146,11338780740,0.5962,19018999978,1
2021年04月,新北市,602679244,0.3837,441822822,0.2813,2025992,0.0013,524038563,0.3337,1570566621,0.0886
2021年04月,台北市,366850355,0.3357,681155892,0.6234,1042891,0.001,43635209,0.0399,1092684347,0.0616
2021年04月,桃園市,384630971,0.165,320321810,0.1374,3922995,0.0017,1622696016,0.696,2331571792,0.1315
2021年04月,台中市,439189664,0.1654,428238230,0.1612,13370914,0.005,1775236890,0.6684,2656035698,0.1498
2021年04月,台南市,291429938,0.1226,240377283,0.1011,30726724,0.0129,1813950837,0.7633,2376484782,0.134
2021年04月,高雄市,355853748,0.1473,424915202,0.1758,20135814,0.0083,1615594733,0.6686,2416499497,0.1363
2021年04月,宜蘭縣,72525481,0.2705,61431369,0.2291,5474043,0.0204,128696938,0.48,268127831,0.0151
2021年04月,新竹縣,96634603,0.1228,73740297,0.0937,1578726,0.002,614765334,0.7814,786718960,0.0444
2021年04月,苗栗縣,71487131,0.1171,53257062,0.0872,2600091,0.0043,483127965,0.7914,610472249,0.0344
2021年04月,彰化縣,185599183,0.1958,168172926,0.1774,37947731,0.04,556129475,0.5867,947849315,0.0535
2021年04月,南投縣,77380946,0.3129,52808898,0.2135,9470850,0.0383,107640575,0.4353,247301269,0.0139
2021年04月,雲林縣,110904496,0.2363,65185053,0.1389,34017827,0.0725,259276898,0.5524,469384274,0.0265
2021年04月,嘉義縣,69211792,0.2934,41813302,0.1772,21966570,0.0931,102925281,0.4363,235916945,0.0133
2021年04月,屏東縣,121213979,0.312,90829687,0.2338,63848256,0.1643,112644033,0.2899,388535955,0.0219
2021年04月,台東縣,34069803,0.4423,30530783,0.3964,2530226,0.0329,9890918,0.1284,77021730,0.0043
2021年04月,花蓮縣,53890920,0.2728,57025548,0.2887,2000545,0.0101,84597487,0.4283,197514500,0.0111
2021年04月,基隆市,56523484,0.5069,37439532,0.3358,9419,0.0001,17529478,0.1572,111501913,0.0063
2021年04月,新竹市,65841473,0.082,90945325,0.1133,891086,0.0011,645059902,0.8036,802737786,0.0453
2021年04月,嘉義市,38888051,0.4417,40056333,0.455,607005,0.0069,8485034,0.0964,88036423,0.005
2021年04月,澎湖縣,13372540,0.418,14109137,0.441,352837,0.011,4158817,0.13,31993331,0.0018
2021年04月,金門縣,8877122,0.4399,8441585,0.4183,263117,0.013,2597835,0.1287,20179659,0.0011
2021年04月,連江縣,2113831,0.3727,2862409,0.5046,7704,0.0014,688381,0.1214,5672325,0.0003
2021年04月,合計,3519168755,0.1985,3425480485,0.1932,254791363,0.0144,10533366599,0.594,17732807202,1
2021年03月,新北市,649645302,0.4003,473412653,0.2917,2257087,0.0014,497388406,0.3065,1622703448,0.0886
2021年03月,台北市,412836083,0.3529,705060039,0.6027,1218779,0.001,50786075,0.0434,1169900976,0.0639
2021年03月,桃園市,363492772,0.1561,316618372,0.136,3712271,0.0016,1644355165,0.7063,2328178580,0.1272
2021年03月,台中市,467190931,0.1701,437472669,0.1593,13228500,0.0048,1828621506,0.6658,2746513606,0.15
2021年03月,台南市,298967038,0.1206,235700782,0.0951,32057510,0.0129,1912439012,0.7714,2479164342,0.1354
2021年03月,高雄市,459394199,0.1806,421648568,0.1658,21523789,0.0085,1641246561,0.6452,2543813117,0.1389
2021年03月,宜蘭縣,72199529,0.2624,66679302,0.2424,5388707,0.0196,130855505,0.4756,275123043,0.015
2021年03月,新竹縣,93509215,0.1193,71411056,0.0911,1836983,0.0023,617207641,0.7873,783964895,0.0428
2021年03月,苗栗縣,84832521,0.1318,55605079,0.0864,2609968,0.0041,500569844,0.7777,643617412,0.0352
2021年03月,彰化縣,193098242,0.2021,163492345,0.1711,37979627,0.0397,560934546,0.5871,955504760,0.0522
2021年03月,南投縣,67746511,0.2842,51807824,0.2173,9020623,0.0378,109830597,0.4607,238405555,0.013
